,Date,Latitude,Longitude,Forecast
8,2018-01-01,24.66818,71.33144,5.180296421000006
9,2019-01-01,24.66818,71.33144,5.18029642100001
18,2018-01-01,24.66818,71.41106,42.12694549999885
19,2019-01-01,24.66818,71.41106,42.126945499999074
28,2018-01-01,24.66818,71.49069,73.20323180999999
29,2019-01-01,24.66818,71.49069,73.20323181000006
38,2018-01-01,24.66818,71.57031,101.06735230000038
39,2019-01-01,24.66818,71.57031,101.06735230000037
48,2018-01-01,24.66818,71.64994,26.086885449999823
49,2019-01-01,24.66818,71.64994,26.08688544999983
58,2018-01-01,24.66818,71.72956,41.74900055000014
59,2019-01-01,24.66818,71.72956,41.74900055000024
68,2018-01-01,24.66818,71.80919,55.00392913999968
69,2019-01-01,24.66818,71.80919,55.00392913999959
78,2018-01-01,24.66818,71.88882,29.411613459998605
79,2019-01-01,24.66818,71.88882,29.41161345999907
88,2018-01-01,24.66818,71.96844,37.497009280001286
89,2019-01-01,24.66818,71.96844,37.49700928000123
98,2018-01-01,24.66818,72.04807,52.54997635000017
99,2019-01-01,24.66818,72.04807,52.549976350000186
108,2018-01-01,24.66818,72.12769,9.86140918699999
109,2019-01-01,24.66818,72.12769,9.861409186999975
118,2018-01-01,24.66818,72.20732,7.909708977000105
119,2019-01-01,24.66818,72.20732,7.90970897700011
128,2018-01-01,24.66818,72.28694,7.005911350000032
129,2019-01-01,24.66818,72.28694,7.005911350000015
138,2018-01-01,24.66818,72.36657,0.17758664499999302
139,2019-01-01,24.66818,72.36657,0.17758664499999305
148,2018-01-01,24.58758,71.25181,0.952278613999999
149,2019-01-01,24.58758,71.25181,0.9522786139999988
158,2018-01-01,24.58758,71.33144,26.509065630004052
159,2019-01-01,24.58758,71.33144,26.509065630004095
168,2018-01-01,24.58758,71.41106,85.23765564000044
169,2019-01-01,24.58758,71.41106,85.23765564000077
178,2018-01-01,24.58758,71.49069,153.97608949999966
179,2019-01-01,24.58758,71.49069,153.97608949999926
188,2018-01-01,24.58758,71.57031,167.43388370000227
189,2019-01-01,24.58758,71.57031,167.43388370000253
198,2018-01-01,24.58758,71.64994,89.41933440999799
199,2019-01-01,24.58758,71.64994,89.41933440999748
208,2018-01-01,24.58758,71.72956,127.06034850000086
209,2019-01-01,24.58758,71.72956,127.0603485000019
218,2018-01-01,24.58758,71.80919,126.28383640000006
219,2019-01-01,24.58758,71.80919,126.28383640000011
228,2018-01-01,24.58758,71.88882,101.82385249999929
229,2019-01-01,24.58758,71.88882,101.8238524999985
238,2018-01-01,24.58758,71.96844,111.1489410000005
239,2019-01-01,24.58758,71.96844,111.14894100000063
248,2018-01-01,24.58758,72.04807,111.81616209999947
249,2019-01-01,24.58758,72.04807,111.816162099999
258,2018-01-01,24.58758,72.12769,86.2710189799999
259,2019-01-01,24.58758,72.12769,86.2710189799999
268,2018-01-01,24.58758,72.20732,44.64852141999952
269,2019-01-01,24.58758,72.20732,44.64852141999957
278,2018-01-01,24.58758,72.28694,41.31939696999978
279,2019-01-01,24.58758,72.28694,41.31939696999976
288,2018-01-01,24.58758,72.36657,4.003596782999933
289,2019-01-01,24.58758,72.36657,4.003596782999894
298,2018-01-01,24.50698,71.25181,0.24119545499999856
299,2019-01-01,24.50698,71.25181,0.24119545499999787
308,2018-01-01,24.50698,71.33144,29.89868927000006
309,2019-01-01,24.50698,71.33144,29.898689270000048
318,2018-01-01,24.50698,71.41106,100.90100860000061
319,2019-01-01,24.50698,71.41106,100.90100860000096
328,2018-01-01,24.50698,71.49069,134.18313600000096
329,2019-01-01,24.50698,71.49069,134.1831360000011
338,2018-01-01,24.50698,71.57031,163.17205810000024
339,2019-01-01,24.50698,71.57031,163.17205810000047
348,2018-01-01,24.50698,71.64994,134.4101409999977
349,2019-01-01,24.50698,71.64994,134.41014099999592
358,2018-01-01,24.50698,71.72956,112.17393490000036
359,2019-01-01,24.50698,71.72956,112.17393489999999
368,2018-01-01,24.50698,71.80919,155.49462890000007
369,2019-01-01,24.50698,71.80919,155.49462890000012
378,2018-01-01,24.50698,71.88882,174.49851989999948
379,2019-01-01,24.50698,71.88882,174.498519899999
388,2018-01-01,24.50698,71.96844,112.54651640000007
389,2019-01-01,24.50698,71.96844,112.5465164000004
398,2018-01-01,24.50698,72.04807,78.11170196999991
399,2019-01-01,24.50698,72.04807,78.11170197000001
408,2018-01-01,24.50698,72.12769,86.62328338999983
409,2019-01-01,24.50698,72.12769,86.6232833899998
418,2018-01-01,24.50698,72.20732,92.12915039000116
419,2019-01-01,24.50698,72.20732,92.12915039000197
428,2018-01-01,24.50698,72.28694,109.49377440000073
429,2019-01-01,24.50698,72.28694,109.49377440000124
438,2018-01-01,24.50698,72.36657,30.972066880000188
439,2019-01-01,24.50698,72.36657,30.972066880000153
448,2018-01-01,24.50698,72.44619,4.792346954000016
449,2019-01-01,24.50698,72.44619,4.79234695400002
458,2018-01-01,24.50698,72.60544,0.7096767429999833
