Index,Latitude,Longitude,2018,2019
0,24.66818,71.33144,7.387925148,5.180296421
1,24.66818,71.41106,40.43184662,42.1269455
2,24.66818,71.49069,59.18162918,73.20323181
3,24.66818,71.57031,74.53672028,101.0673523
4,24.66818,71.64994,16.53131485,26.08688545
5,24.66818,71.72956,23.59261703,41.74900055
6,24.66818,71.80919,37.77179718,55.00392914
7,24.66818,71.88882,72.29115295,29.41161346
8,24.66818,71.96844,31.31279564,37.49700928
9,24.66818,72.04807,36.00815201,52.54997635
10,24.66818,72.12769,7.731999874,9.861409187
11,24.66818,72.20732,4.729420662,7.909708977
12,24.66818,72.28694,4.019220352,7.00591135
13,24.66818,72.36657,0.170855775,0.177586645
14,24.58758,71.25181,0.407948494,0.952278614
15,24.58758,71.33144,29.41272354,26.50906563
16,24.58758,71.41106,94.71604919,85.23765564
17,24.58758,71.49069,128.6074066,153.9760895
18,24.58758,71.57031,119.6863556,167.4338837
19,24.58758,71.64994,60.41845703,89.41933441
20,24.58758,71.72956,82.89323425,127.0603485
21,24.58758,71.80919,90.87753296,126.2838364
22,24.58758,71.88882,116.8996277,101.8238525
23,24.58758,71.96844,109.9925232,111.148941
24,24.58758,72.04807,87.78025055,111.8161621
25,24.58758,72.12769,77.210495,86.27101898
26,24.58758,72.20732,42.75498581,44.64852142
27,24.58758,72.28694,27.09572029,41.31939697
28,24.58758,72.36657,3.248904228,4.003596783
29,24.50698,71.25181,0.316811502,0.241195455
30,24.50698,71.33144,25.035532,29.89868927
31,24.50698,71.41106,87.5641098,100.9010086
32,24.50698,71.49069,150.813324,134.183136
33,24.50698,71.57031,132.3540192,163.1720581
34,24.50698,71.64994,117.1153717,134.410141
35,24.50698,71.72956,98.37117767,112.1739349
36,24.50698,71.80919,166.2753143,155.4946289
37,24.50698,71.88882,131.4788666,174.4985199
38,24.50698,71.96844,102.0719376,112.5465164
39,24.50698,72.04807,68.13217163,78.11170197
40,24.50698,72.12769,87.15248108,86.62328339
41,24.50698,72.20732,98.95579529,92.12915039
42,24.50698,72.28694,89.4603653,109.4937744
43,24.50698,72.36657,18.38335991,30.97206688
44,24.50698,72.44619,1.929136515,4.792346954
45,24.50698,72.60544,0.109720692,0.709676743
46,24.50698,72.68507,0.536449432,0.413164586
47,24.42638,71.33144,21.13311577,14.09113312
48,24.42638,71.41106,79.66234589,98.30970764
49,24.42638,71.49069,121.5448074,127.0145798
50,24.42638,71.57031,106.9424896,129.7623901
51,24.42638,71.64994,78.92514801,103.8457642
52,24.42638,71.72956,104.6953964,107.3855286
53,24.42638,71.80919,134.6973419,169.7783661
54,24.42638,71.88882,116.9567261,157.299408
55,24.42638,71.96844,122.0452118,118.2251968
56,24.42638,72.04807,171.2545319,158.2336884
57,24.42638,72.12769,134.3496246,125.4573593
58,24.42638,72.20732,105.8578873,103.5982666
59,24.42638,72.28694,89.86942291,86.81983948
60,24.42638,72.36657,68.56171417,82.80084991
61,24.42638,72.44619,20.19329834,15.02862358
62,24.42638,72.52582,9.653676033,11.84801197
63,24.42638,72.60544,17.03986931,27.44405746
64,24.42638,72.68507,7.286772728,10.78946877
65,24.42638,73.00357,5.554096222,7.666985989
66,24.42638,73.08319,6.31090641,8.807272911
67,24.42638,73.16282,0.384940833,0.482097477
68,24.34578,71.25181,0.202268958,0.015550368
69,24.34578,71.33144,10.07473373,5.716173172
70,24.34578,71.41106,107.5643158,107.6742859
71,24.34578,71.49069,137.4429321,138.6842041
72,24.34578,71.57031,111.0048981,141.0565948
73,24.34578,71.64994,82.23817444,113.957489
74,24.34578,71.72956,146.8779297,156.1511841
75,24.34578,71.80919,175.9665833,194.9480438
76,24.34578,71.88882,105.6868515,130.4949036
77,24.34578,71.96844,105.946846,113.7386398
78,24.34578,72.04807,184.9528809,195.5219574
79,24.34578,72.12769,190.0127106,196.9147797
80,24.34578,72.20732,104.5958786,125.0444336
81,24.34578,72.28694,32.40374374,40.5798645
82,24.34578,72.36657,44.45841599,56.74629593
83,24.34578,72.44619,24.62424278,26.85098839
84,24.34578,72.52582,81.50495148,94.62962341
85,24.34578,72.60544,36.60828018,46.91526413
86,24.34578,72.68507,4.748322487,6.853166103
87,24.34578,73.00357,15.40928078,20.91970634
88,24.34578,73.08319,40.54199219,54.29769897
89,24.34578,73.16282,7.925868988,10.19478226
90,24.34578,73.24244,0.119215943,0.135203227
91,24.26518,71.25181,2.279833794,0.626044393
92,24.26518,71.33144,67.28372192,46.32011795
93,24.26518,71.41106,145.1119995,152.3161774
94,24.26518,71.49069,130.7917175,139.0729065
95,24.26518,71.57031,81.56676483,105.926712
96,24.26518,71.64994,134.9612427,145.2462921
